year,species,abundance,trap_nights,abund_per_trapnight
1995,arenicola,19,1296,0.014660493827160493
1995,eremicus,1,1296,7.716049382716049e-4
1995,flavus,2,1296,0.0015432098765432098
1995,hispidus,4,1296,0.0030864197530864196
1995,leucodon,25,1296,0.019290123456790122
1995,leucogaster,9,1296,0.006944444444444444
1995,leucopus,9,1296,0.006944444444444444
1995,megalotis,20,1296,0.015432098765432098
1995,merriami,86,1296,0.06635802469135803
1995,micropus,5,1296,0.0038580246913580245
1995,ordii,17,1296,0.013117283950617283
1995,spilosoma,14,1296,0.010802469135802469
1996,arenicola,40,1296,0.030864197530864196
1996,eremicus,9,1296,0.006944444444444444
1996,flavus,22,1296,0.016975308641975308
1996,leucodon,54,1296,0.041666666666666664
1996,leucogaster,12,1296,0.009259259259259259
1996,leucopus,16,1296,0.012345679012345678
1996,megalotis,3,1296,0.0023148148148148147
1996,merriami,143,1296,0.11033950617283951
1996,micropus,12,1296,0.009259259259259259
1996,ordii,182,1296,0.1404320987654321
1996,spectabilis,14,1296,0.010802469135802469
1996,spilosoma,43,1296,0.033179012345679014
1997,arenicola,43,1296,0.033179012345679014
1997,eremicus,17,1296,0.013117283950617283
1997,flavus,54,1296,0.041666666666666664
1997,hispidus,17,1296,0.013117283950617283
1997,leucodon,64,1296,0.04938271604938271
1997,leucogaster,31,1296,0.023919753086419752
1997,leucopus,37,1296,0.02854938271604938
1997,megalotis,12,1296,0.009259259259259259
1997,merriami,308,1296,0.23765432098765432
1997,micropus,24,1296,0.018518518518518517
1997,ordii,313,1296,0.24151234567901234
1997,spectabilis,42,1296,0.032407407407407406
1997,spilosoma,47,1296,0.036265432098765434
1998,arenicola,17,1296,0.013117283950617283
1998,eremicus,11,1296,0.008487654320987654
1998,flavus,3,1296,0.0023148148148148147
1998,hispidus,7,1296,0.005401234567901234
1998,leucodon,43,1296,0.033179012345679014
1998,leucogaster,32,1296,0.024691358024691357
1998,leucopus,9,1296,0.006944444444444444
1998,megalotis,4,1296,0.0030864197530864196
1998,merriami,192,1296,0.14814814814814814
1998,micropus,19,1296,0.014660493827160493
1998,ordii,317,1296,0.24459876543209877
1998,spectabilis,37,1296,0.02854938271604938
1998,spilosoma,83,1296,0.06404320987654322
1999,arenicola,17,1296,0.013117283950617283
1999,eremicus,5,1296,0.0038580246913580245
1999,hispidus,2,1296,0.0015432098765432098
1999,leucodon,54,1296,0.041666666666666664
1999,leucogaster,13,1296,0.010030864197530864
1999,leucopus,2,1296,0.0015432098765432098
1999,megalotis,2,1296,0.0015432098765432098
1999,merriami,159,1296,0.12268518518518519
1999,micropus,6,1296,0.004629629629629629
1999,ordii,141,1296,0.1087962962962963
1999,spectabilis,26,1296,0.020061728395061727
1999,spilosoma,54,1296,0.041666666666666664
2000,arenicola,24,1296,0.018518518518518517
2000,eremicus,14,1296,0.010802469135802469
2000,flavus,5,1296,0.0038580246913580245
2000,hispidus,21,1296,0.016203703703703703
2000,leucodon,54,1296,0.041666666666666664
2000,leucogaster,30,1296,0.023148148148148147
2000,leucopus,1,1296,7.716049382716049e-4
2000,megalotis,3,1296,0.0023148148148148147
2000,merriami,230,1296,0.17746913580246915
2000,micropus,19,1296,0.014660493827160493
2000,ordii,166,1296,0.12808641975308643
2000,spectabilis,25,1296,0.019290123456790122
2000,spilosoma,50,1296,0.038580246913580245
2001,arenicola,14,1296,0.010802469135802469
2001,eremicus,6,1296,0.004629629629629629
2001,flavus,9,1296,0.006944444444444444
2001,hispidus,2,1296,0.0015432098765432098
2001,leucodon,45,1296,0.034722222222222224
2001,leucogaster,16,1296,0.012345679012345678
2001,merriami,113,1296,0.08719135802469136
2001,micropus,7,1296,0.005401234567901234
2001,ordii,238,1296,0.18364197530864199
2001,spectabilis,18,1296,0.013888888888888888
2001,spilosoma,38,1296,0.029320987654320986
2002,arenicola,8,1296,0.006172839506172839
2002,eremicus,17,1296,0.013117283950617283
2002,flavus,9,1296,0.006944444444444444
2002,leucodon,8,1296,0.006172839506172839
2002,leucogaster,9,1296,0.006944444444444444
2002,merriami,79,1296,0.06095679012345679
2002,micropus,1,1296,7.716049382716049e-4
2002,ordii,240,1296,0.18518518518518517
2002,spectabilis,14,1296,0.010802469135802469
2002,spilosoma,26,1296,0.020061728395061727
2003,arenicola,4,1296,0.0030864197530864196
2003,eremicus,41,1296,0.031635802469135804
2003,flavus,13,1296,0.010030864197530864
2003,hispidus,1,1296,7.716049382716049e-4
2003,leucogaster,11,1296,0.008487654320987654
2003,leucopus,6,1296,0.004629629629629629
2003,merriami,158,1296,0.12191358024691358
2003,ordii,150,1296,0.11574074074074074
2003,spectabilis,20,1296,0.015432098765432098
2003,spilosoma,7,1296,0.005401234567901234
2004,arenicola,11,1296,0.008487654320987654
2004,eremicus,90,1296,0.06944444444444445
2004,flavus,12,1296,0.009259259259259259
2004,leucodon,3,1296,0.0023148148148148147
2004,leucogaster,10,1296,0.007716049382716049
2004,leucopus,1,1296,7.716049382716049e-4
2004,merriami,119,1296,0.09182098765432099
2004,ordii,76,1296,0.05864197530864197
2004,spectabilis,23,1296,0.017746913580246913
2004,spilosoma,26,1296,0.020061728395061727
2005,arenicola,8,1296,0.006172839506172839
2005,boylii,1,1296,7.716049382716049e-4
2005,eremicus,114,1296,0.08796296296296297
2005,flavus,38,1296,0.029320987654320986
2005,hispidus,22,1296,0.016975308641975308
