year,season,date,habitat,night,web,trap,recap,species,sex,age,weight_g
1995,F,1995-10-24,JC,1,1,24,N,DIME,NA,NA,0
1995,F,1995-10-24,JC,1,1,48,N,DIME,F,A,40
1995,F,1995-10-24,JC,1,1,58,N,DIME,F,A,41
1995,F,1995-10-24,JC,1,1,72,N,DIME,F,A,37
1995,F,1995-10-24,JC,1,1,88,N,PELE,F,A,22
1995,F,1995-10-24,JC,1,1,107,N,DIME,F,A,41
1995,F,1995-10-24,JC,1,1,132,N,DIME,M,A,35
1995,F,1995-10-24,JC,1,1,133,N,DIME,M,A,44
1995,F,1995-10-24,JC,1,1,138,N,REME,M,A,12
1995,F,1995-10-24,JC,1,1,139,N,DIME,F,A,38
1995,F,1995-10-24,JC,1,1,143,N,DIME,M,A,37
1995,F,1995-10-24,JC,1,2,4,N,NEAL,F,A,160
1995,F,1995-10-24,JC,1,2,6,N,NEAL,F,A,178
1995,F,1995-10-24,JC,1,2,12,N,ONAR,M,A,18
1995,F,1995-10-24,JC,1,2,21,N,DIME,M,A,40
1995,F,1995-10-24,JC,1,2,36,N,DIME,M,A,37
1995,F,1995-10-24,JC,1,2,42,N,DIME,F,A,46
1995,F,1995-10-24,JC,1,2,48,N,DIME,F,A,38
1995,F,1995-10-24,JC,1,2,58,N,DIME,F,A,42
1995,F,1995-10-24,JC,1,2,59,N,DIME,F,A,40
1995,F,1995-10-24,JC,1,2,60,N,NEAL,NA,J,110
1995,F,1995-10-24,JC,1,2,72,N,DIME,M,A,43
1995,F,1995-10-24,JC,1,2,74,N,DIME,F,A,38
1995,F,1995-10-24,JC,1,2,79,N,PELE,F,A,24
1995,F,1995-10-24,JC,1,2,82,N,DIME,M,A,43
1995,F,1995-10-24,JC,1,2,83,N,DIME,M,A,42
1995,F,1995-10-24,JC,1,2,100,N,DIME,F,A,38
1995,F,1995-10-24,JC,1,2,132,N,DIME,M,A,43
1995,F,1995-10-24,JC,1,2,133,N,ONAR,F,A,0
1995,F,1995-10-24,JC,1,2,137,N,DIME,F,A,39
1995,F,1995-10-24,JC,1,2,144,N,DIME,M,A,46
1995,F,1995-10-24,JC,1,3,10,N,NEAL,F,A,205
1995,F,1995-10-24,JC,1,3,20,N,DIME,M,A,41
1995,F,1995-10-24,JC,1,3,23,N,DIME,F,A,39
1995,F,1995-10-24,JC,1,3,34,N,DIME,M,A,45
1995,F,1995-10-24,JC,1,3,36,N,DIME,M,A,42
1995,F,1995-10-24,JC,1,3,45,N,DIME,M,A,46
1995,F,1995-10-24,JC,1,3,47,N,DIME,F,A,47
1995,F,1995-10-24,JC,1,3,52,N,ONAR,M,A,18
1995,F,1995-10-24,JC,1,3,59,N,DIME,M,A,37
1995,F,1995-10-24,JC,1,3,70,N,DIME,NA,NA,0
1995,F,1995-10-24,JC,1,3,80,N,DIME,M,A,39
1995,F,1995-10-24,JC,1,3,82,N,DIME,M,A,36
1995,F,1995-10-24,JC,1,3,84,N,DIME,M,A,36
1995,F,1995-10-24,JC,1,3,87,N,ONAR,F,A,16
1995,F,1995-10-24,JC,1,3,99,N,REME,F,A,11
1995,F,1995-10-24,JC,1,3,100,N,DIME,M,A,38
1995,F,1995-10-24,JC,1,3,104,N,DIME,F,A,32
1995,F,1995-10-24,JC,1,3,107,N,DIME,M,A,46
1995,F,1995-10-24,JC,1,3,108,N,DIME,M,A,42
1995,F,1995-10-24,JC,1,3,114,N,PELE,F,A,30
1995,F,1995-10-24,JC,1,3,119,N,DIME,M,A,41
1995,F,1995-10-24,JC,1,3,134,N,NEAL,M,A,202
1995,F,1995-10-24,JC,1,3,139,N,DIME,M,A,39
1995,F,1995-10-24,JC,1,3,140,N,DIME,M,A,42
1995,F,1995-10-24,JC,1,3,144,N,DIME,M,A,46
1995,F,1995-10-25,JC,2,1,12,N,ONAR,F,A,17
1995,F,1995-10-25,JC,2,1,33,N,DIME,M,A,38
1995,F,1995-10-25,JC,2,1,43,N,CHPE,NA,NA,23
1995,F,1995-10-25,JC,2,1,47,N,ONAR,F,A,18
1995,F,1995-10-25,JC,2,1,55,N,NEAL,NA,J,85
1995,F,1995-10-25,JC,2,1,60,N,DIME,M,A,46
1995,F,1995-10-25,JC,2,1,69,N,SIHI,NA,NA,0
1995,F,1995-10-25,JC,2,1,71,N,DIME,F,A,51
1995,F,1995-10-25,JC,2,1,72,N,DIME,F,A,34
1995,F,1995-10-25,JC,2,1,81,N,DIME,M,A,39
1995,F,1995-10-25,JC,2,1,90,N,ONAR,F,A,17
1995,F,1995-10-25,JC,2,1,108,N,NEAL,M,A,145
1995,F,1995-10-25,JC,2,1,140,N,DIME,F,A,44
1995,F,1995-10-25,JC,2,1,143,N,PELE,NA,A,27
1995,F,1995-10-25,JC,2,2,11,N,DIME,F,A,41
1995,F,1995-10-25,JC,2,2,26,N,PELE,M,A,18
1995,F,1995-10-25,JC,2,2,36,N,ONAR,M,A,19
1995,F,1995-10-25,JC,2,2,45,N,DIME,F,A,39
1995,F,1995-10-25,JC,2,2,47,N,DIME,F,A,44
1995,F,1995-10-25,JC,2,2,48,N,SPSP,M,A,102
1995,F,1995-10-25,JC,2,2,55,N,ONAR,F,A,20
1995,F,1995-10-25,JC,2,2,68,N,PGFL,M,A,10
1995,F,1995-10-25,JC,2,2,104,N,REME,NA,NA,0
1995,F,1995-10-25,JC,2,2,107,N,PELE,M,A,22
1995,F,1995-10-25,JC,2,2,142,N,REME,F,A,20
1995,F,1995-10-25,JC,2,3,12,N,DIME,M,A,47
1995,F,1995-10-25,JC,2,3,70,N,SPSP,F,A,68
1995,F,1995-10-25,JC,2,3,105,N,DIME,F,A,44
1995,F,1995-10-25,JC,2,3,126,N,ONAR,NA,NA,18
1995,F,1995-10-25,JC,2,3,143,N,NEAL,NA,J,120
1995,F,1995-10-26,JC,3,1,7,N,NEAL,F,A,155
1995,F,1995-10-26,JC,3,1,18,N,NEAL,F,A,0
1995,F,1995-10-26,JC,3,1,21,N,DIME,NA,A,36
1995,F,1995-10-26,JC,3,1,34,N,NEAL,NA,J,80
1995,F,1995-10-26,JC,3,1,39,N,DIME,M,A,43
1995,F,1995-10-26,JC,3,1,41,N,DIME,F,A,39
1995,F,1995-10-26,JC,3,1,42,N,DIME,F,A,36
1995,F,1995-10-26,JC,3,1,47,N,DIME,NA,J,33
1995,F,1995-10-26,JC,3,1,58,N,NEAL,NA,J,130
1995,F,1995-10-26,JC,3,1,59,N,DIME,NA,NA,0
1995,F,1995-10-26,JC,3,1,83,N,NEAL,NA,J,80
1995,F,1995-10-26,JC,3,1,96,N,DIME,M,A,40
1995,F,1995-10-26,JC,3,1,107,N,NEAL,F,A,215
1995,F,1995-10-26,JC,3,1,117,N,DIME,F,A,38
1995,F,1995-10-26,JC,3,1,120,N,NEAL,M,A,198
1995,F,1995-10-26,JC,3,2,24,N,ONAR,F,A,0
1995,F,1995-10-26,JC,3,2,35,N,REME,M,A,10
1995,F,1995-10-26,JC,3,2,36,N,PGFL,M,A,9
1995,F,1995-10-26,JC,3,2,57,N,DIME,F,A,40
1995,F,1995-10-26,JC,3,2,83,N,NEAL,F,A,182
1995,F,1995-10-26,JC,3,2,100,N,ONAR,F,A,22
1995,F,1995-10-26,JC,3,2,120,N,NEAL,M,A,185
1995,F,1995-10-26,JC,3,3,8,N,REME,F,A,15
1995,F,1995-10-26,JC,3,3,20,N,DIME,F,A,42
1995,F,1995-10-26,JC,3,3,22,N,DIME,F,A,38
1995,F,1995-10-26,JC,3,3,24,N,ONAR,M,A,22
1995,F,1995-10-26,JC,3,3,27,N,NEAL,M,A,170
1995,F,1995-10-26,JC,3,3,40,N,NEAL,NA,J,125
1995,F,1995-10-26,JC,3,3,53,N,ONAR,F,A,19
1995,F,1995-10-26,JC,3,3,92,N,ONAR,M,A,16
1996,F,1996-10-17,JC,2,2,12,N,NEAL,F,A,155
1996,F,1996-10-17,JC,2,2,36,N,NEAL,NA,J,82
1996,F,1996-10-17,JC,2,2,55,N,DIME,M,A,54
1996,F,1996-10-17,JC,2,2,58,N,DIME,F,A,44
1996,F,1996-10-17,JC,2,2,59,N,NEAL,F,A,180
1996,F,1996-10-17,JC,2,2,61,N,ONAR,NA,J,11
1996,F,1996-10-17,JC,2,2,64,N,ONAR,F,A,12
1996,F,1996-10-17,JC,2,2,72,N,NEAL,M,A,190
1996,F,1996-10-17,JC,2,2,82,N,NEAL,NA,J,82
1996,F,1996-10-17,JC,2,2,96,N,DIME,NA,J,31
1996,F,1996-10-17,JC,2,2,103,N,PELE,M,A,18
1996,F,1996-10-17,JC,2,2,106,N,DIME,NA,J,25
1996,F,1996-10-17,JC,2,2,108,N,DIME,M,A,51
1996,F,1996-10-17,JC,2,2,114,N,NEAL,NA,J,85
1996,F,1996-10-17,JC,2,2,135,N,NEAL,M,A,235
1996,F,1996-10-17,JC,2,2,141,N,DIME,NA,J,24
1996,F,1996-10-17,JC,2,3,7,N,NEAL,NA,J,110
1996,F,1996-10-17,JC,2,3,12,N,NEAL,NA,J,91
1996,F,1996-10-17,JC,2,3,28,N,NEAL,M,A,190
1996,F,1996-10-17,JC,2,3,30,N,DIME,M,A,51
1996,F,1996-10-17,JC,2,3,31,N,DIME,NA,J,34
1996,F,1996-10-17,JC,2,3,40,N,SPSP,M,A,90
1996,F,1996-10-17,JC,2,3,54,N,DIME,M,A,50
1996,F,1996-10-17,JC,2,3,60,N,DIME,M,A,36
1996,F,1996-10-17,JC,2,3,68,N,NEAL,M,A,0
1996,F,1996-10-17,JC,2,3,83,N,NEAL,M,A,180
1996,F,1996-10-17,JC,2,3,84,N,DIME,NA,J,26
1996,F,1996-10-17,JC,2,3,96,N,NEAL,M,A,160
1996,F,1996-10-17,JC,2,3,103,N,NEAL,F,A,160
1996,F,1996-10-17,JC,2,3,105,N,NEAL,F,A,220
1996,F,1996-10-17,JC,2,3,118,N,DIME,NA,J,28
1996,F,1996-10-17,JC,2,3,131,N,DIME,F,A,48
1996,F,1996-10-17,JC,2,3,132,N,NEAL,NA,J,110
1996,F,1996-10-17,JC,2,3,137,N,ONAR,M,A,20
1996,F,1996-10-17,JC,2,3,139,N,DIME,NA,J,21
1996,F,1996-10-17,JC,2,3,140,N,DIME,F,A,44
1996,F,1996-10-17,JC,2,3,141,N,DIME,M,A,55
1996,F,1996-10-17,JC,2,3,143,N,ONAR,F,A,18
1996,F,1996-10-17,JC,2,3,144,N,CHPE,M,A,12
1996,F,1996-10-17,JC,2,1,11,N,DIME,M,A,48
1996,F,1996-10-17,JC,2,1,12,N,DIME,F,A,53
1996,F,1996-10-17,JC,2,1,25,N,DIME,M,A,46
1996,F,1996-10-17,JC,2,1,36,N,DIME,F,A,29
1996,F,1996-10-17,JC,2,1,60,N,DIME,F,A,30
1996,F,1996-10-17,JC,2,1,93,N,DIME,NA,J,21
1996,F,1996-10-17,JC,2,1,94,N,NEAL,F,A,175
1996,F,1996-10-17,JC,2,1,100,N,DIME,M,A,41
