id,rodent_survey_id,rodent_species_id,weight,recapture,species_code,genus,species,family,site_id,start_date,end_date,quadrat,weather,notes,num_traps
144775,22,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144776,22,119,NA,1,PEAM,Perognathus,amplus,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144777,22,115,30.6,0,DIME,Dipodomys,merriami,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144778,22,115,32.2,0,DIME,Dipodomys,merriami,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144779,22,115,40,0,DIME,Dipodomys,merriami,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144780,22,112,14.2,0,CHPE,Chaetodipus,penicillatus,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144781,22,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144782,22,115,43.8,0,DIME,Dipodomys,merriami,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144783,22,115,45.5,0,DIME,Dipodomys,merriami,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144784,22,115,41.8,0,DIME,Dipodomys,merriami,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144785,22,119,11,0,PEAM,Perognathus,amplus,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144786,22,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144787,22,119,5.5,0,PEAM,Perognathus,amplus,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144788,22,119,NA,1,PEAM,Perognathus,amplus,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144789,22,115,NA,1,DIME,Dipodomys,merriami,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144790,22,115,37.2,0,DIME,Dipodomys,merriami,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144791,22,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144792,22,119,9.5,0,PEAM,Perognathus,amplus,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144793,22,115,NA,1,DIME,Dipodomys,merriami,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144794,22,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144795,22,115,39,0,DIME,Dipodomys,merriami,Heteromyid,14,1992-06-25,1992-06-26,2,NA,NA,49
144796,17,112,23.2,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144797,17,117,134,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144798,17,112,27.4,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144799,17,120,11,0,PEER,Peromyscus,eremicus,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144800,17,117,116.2,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144801,17,112,9.4,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144802,17,117,64,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144803,17,111,22.1,0,CHIN,Chaetodipus,intermedius,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144804,17,112,21.6,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144805,17,117,117.6,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144806,17,117,65,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
