year,biomass_g
1991,19.638108391458008
1992,29.37692698972814
1993,29.937357701568434
1994,31.402777602694517
1995,20.477219214614536
1996,19.314967103280775
1997,4.330736751557341
1998,4.3973607358144875
1999,7.085241591462072
2000,13.22756129819979
2001,17.28528113205192
2002,12.663403091613453
2003,13.34823307276975
2004,19.04046854507863
2005,17.524764998612888
2006,27.19606953982055
2007,19.427237013255496
2008,12.965326277986946
2009,16.06225244737778
2010,20.045267480929578
2011,20.07445875231628
2012,22.141709058867182
2013,19.575983302442847
2014,13.849452825687258
2015,11.727620866987712
2016,12.822749497363821
2017,12.062407151406108
2018,13.020547914718604
2019,11.756588543230677
2020,21.922122578777778
2021,20.07682747288196
2022,10.882902927033044
2023,19.02604294065703
