year,month,period,treatment,species,abundance,ntraps,nplots,scientific_name,taxa,common_name,effort,abund_per_trapnight
1979,9,27,control,BA,0,735,15,Baiomys taylori,Rodent,Northern pygmy mouse,49,0
1979,9,27,control,DM,16,735,15,Dipodomys merriami,Rodent,Merriam's kangaroo rat,49,0.32653061224489793
1979,9,27,control,DO,0,735,15,Dipodomys ordii,Rodent,Ord's kangaroo rat,49,0
1979,9,27,control,DS,11,735,15,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,49,0.22448979591836735
1979,9,27,control,NA,1,735,15,Neotoma albigula,Rodent,White-throated woodrat,49,0.02040816326530612
1979,9,27,control,OL,3,735,15,Onychomys leucogaster,Rodent,Northern Grasshopper Mouse,49,0.061224489795918366
1979,9,27,control,OT,10,735,15,Onychomys torridus,Rodent,Southern grasshopper mouse,49,0.20408163265306123
1979,9,27,control,PB,0,735,15,Chaetodipus baileyi,Rodent,Bailey's pocket mouse,49,0
1979,9,27,control,PE,0,735,15,Peromyscus eremicus,Rodent,Cactus mouse,49,0
1979,9,27,control,PF,1,735,15,Perognathus flavus,Rodent,Silky pocket mouse,49,0.02040816326530612
1979,9,27,control,PH,0,735,15,Chaetodipus hispidus,Rodent,Hispid pocket mouse,49,0
1979,9,27,control,PI,0,735,15,Chaetodipus intermedius,Rodent,Rock pocket mouse,49,0
1979,9,27,control,PL,0,735,15,Peromyscus leucopus,Rodent,White-footed mouse,49,0
1979,9,27,control,PM,0,735,15,Peromyscus maniculatus,Rodent,Deer Mouse,49,0
1979,9,27,control,PP,2,735,15,Chaetodipus penicillatus,Rodent,Desert pocket mouse,49,0.04081632653061224
1979,9,27,control,RF,0,735,15,Reithrodontomys fulvescens,Rodent,Fulvous harvest mouse,49,0
1979,9,27,control,RM,0,735,15,Reithrodontomys megalotis,Rodent,Western harvest mouse,49,0
1979,9,27,control,RO,0,735,15,Reithrodontomys montanus,Rodent,Plains harvest mouse,49,0
1979,9,27,control,SF,0,735,15,Sigmodon fulviventer,Rodent,Tawny-bellied cotton rat,49,0
1979,9,27,control,SH,0,735,15,Sigmodon hispidus,Rodent,Hispid cotton rat,49,0
1979,9,27,control,SO,0,735,15,Sigmodon ochrognathus,Rodent,Yellow nosed cotton rat,49,0
1979,10,28,control,BA,0,735,15,Baiomys taylori,Rodent,Northern pygmy mouse,49,0
1979,10,28,control,DM,14,735,15,Dipodomys merriami,Rodent,Merriam's kangaroo rat,49,0.2857142857142857
1979,10,28,control,DO,5,735,15,Dipodomys ordii,Rodent,Ord's kangaroo rat,49,0.10204081632653061
1979,10,28,control,DS,15,735,15,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,49,0.30612244897959184
1979,10,28,control,NA,5,735,15,Neotoma albigula,Rodent,White-throated woodrat,49,0.10204081632653061
