month,day,year,plot,period,treatment,species,weight,scientific_name,taxa,common_name,avg_weight_g,effort
7,16,1977,2,1,control,NA,NA,Neotoma albigula,Rodent,White-throated woodrat,162.5347738,49
7,16,1977,3,1,control,NA,NA,Neotoma albigula,Rodent,White-throated woodrat,162.5347738,49
7,16,1977,2,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,16,1977,7,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,16,1977,3,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,16,1977,1,1,control,PF,NA,Perognathus flavus,Rodent,Silky pocket mouse,7.899749373,49
7,16,1977,2,1,control,PE,NA,Peromyscus eremicus,Rodent,Cactus mouse,21.98281643,49
7,16,1977,1,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,16,1977,1,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,16,1977,6,1,control,PF,NA,Perognathus flavus,Rodent,Silky pocket mouse,7.899749373,49
7,16,1977,5,1,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
7,16,1977,7,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,16,1977,3,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,16,1977,8,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,16,1977,6,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,16,1977,4,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,16,1977,3,1,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
7,16,1977,2,1,control,PP,NA,Chaetodipus penicillatus,Rodent,Desert pocket mouse,17.61851292,49
7,16,1977,4,1,control,PF,NA,Perognathus flavus,Rodent,Silky pocket mouse,7.899749373,49
7,17,1977,11,1,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
7,17,1977,14,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,17,1977,15,1,control,NA,NA,Neotoma albigula,Rodent,White-throated woodrat,162.5347738,49
7,17,1977,13,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,17,1977,13,1,control,SH,NA,Sigmodon hispidus,Rodent,Hispid cotton rat,88.46170213,49
7,17,1977,9,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,17,1977,15,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,17,1977,15,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,17,1977,11,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,17,1977,11,1,control,PP,NA,Chaetodipus penicillatus,Rodent,Desert pocket mouse,17.61851292,49
7,17,1977,10,1,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
7,17,1977,15,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,17,1977,10,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,17,1977,11,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,17,1977,17,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,17,1977,13,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,17,1977,16,1,control,OT,NA,Onychomys torridus,Rodent,Southern grasshopper mouse,24.05599577,49
7,17,1977,11,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,17,1977,17,1,control,NA,NA,Neotoma albigula,Rodent,White-throated woodrat,162.5347738,49
7,17,1977,11,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,20,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,23,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,18,1,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
7,18,1977,21,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,18,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,22,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,19,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,18,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,20,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,12,1,control,PP,NA,Chaetodipus penicillatus,Rodent,Desert pocket mouse,17.61851292,49
7,18,1977,18,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,21,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,12,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,22,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,18,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,23,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,20,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,22,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,12,1,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
7,18,1977,19,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,19,1,control,PE,NA,Peromyscus eremicus,Rodent,Cactus mouse,21.98281643,49
7,18,1977,23,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
7,18,1977,19,1,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,19,1977,3,2,control,DM,40,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,19,1977,7,2,control,DM,48,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,19,1977,4,2,control,DM,29,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,19,1977,4,2,control,DM,46,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,19,1977,7,2,control,DM,36,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,19,1977,8,2,control,DO,52,Dipodomys ordii,Rodent,Ord's kangaroo rat,49.03951957,49
8,19,1977,2,2,control,PF,8,Perognathus flavus,Rodent,Silky pocket mouse,7.899749373,49
8,19,1977,7,2,control,DM,35,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,19,1977,2,2,control,NA,NA,Neotoma albigula,Rodent,White-throated woodrat,162.5347738,49
8,19,1977,3,2,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
8,19,1977,8,2,control,PF,7,Perognathus flavus,Rodent,Silky pocket mouse,7.899749373,49
8,19,1977,8,2,control,DM,22,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,19,1977,9,2,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
8,19,1977,1,2,control,PF,9,Perognathus flavus,Rodent,Silky pocket mouse,7.899749373,49
8,19,1977,7,2,control,DM,42,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,19,1977,1,2,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
8,19,1977,4,2,control,PF,8,Perognathus flavus,Rodent,Silky pocket mouse,7.899749373,49
8,19,1977,4,2,control,DM,41,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,6,2,control,DM,37,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,19,2,control,DM,43,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,23,2,control,DM,41,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,18,2,control,DM,40,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,5,2,control,PF,9,Perognathus flavus,Rodent,Silky pocket mouse,7.899749373,49
8,20,1977,18,2,control,DM,45,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,12,2,control,PP,15,Chaetodipus penicillatus,Rodent,Desert pocket mouse,17.61851292,49
8,20,1977,18,2,control,DM,29,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,11,2,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
8,20,1977,6,2,control,DM,39,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
