year,biomass_g
1979,205.58486006496625
1980,66.54118717690686
1981,86.29716720739563
1982,116.18822142170768
1983,99.28758680662267
1984,59.32403416696013
1985,71.27477642260794
1986,76.41295918438252
1987,96.85321807543336
1988,41.86926005924524
1989,38.012559813014306
1990,32.95614664294394
1991,31.329398206198878
1992,25.70996295270908
1993,19.089094521507427
1994,17.82492676781709
1995,22.541724721947297
1996,33.78430353095266
1997,65.85734624747958
1998,47.92229919607166
1999,42.95460919011276
2000,50.52960482208833
2001,74.73797401360535
2002,51.63380108235643
2003,56.597000808172986
2004,43.18877737990733
2005,66.63185618478289
2006,48.05967989148095
2007,132.6868423263151
2008,70.44646506642711
2009,39.13312092672421
2010,26.305804623255984
2011,30.4995579815951
2012,57.54046811626255
2013,66.45828466698715
2014,69.62950121405805
2015,84.75038842630038
2016,67.73713871509848
2017,69.43379968947139
2018,39.89475104473013
2019,24.98041512561419
2020,382.2881595505539
2021,120.27655906952937
2022,72.91597863986539
2023,98.46994649243692
