trap_check_date,year,month,day,genus,species,recapture,sex,age,mass_g,reprod_cond,web_trap_number,comments,rhf,body,tail
1991-03-15,1991,3,15,Chaetodipus,penicillatus,N,M,A,13,ST,9,"Weather last night clear, cold.",NA,NA,NA
1991-03-15,1991,3,15,Chaetodipus,penicillatus,N,M,A,16,ST,13,NA,NA,NA,NA
1991-03-15,1991,3,15,Chaetodipus,penicillatus,N,M,A,14.5,ST,39,NA,NA,NA,NA
1991-03-15,1991,3,15,Chaetodipus,penicillatus,N,M,A,16,NA,45,NA,NA,NA,NA
1991-03-15,1991,3,15,Chaetodipus,penicillatus,N,M,A,14.5,ST,56,NA,NA,NA,NA
1991-03-15,1991,3,15,Chaetodipus,penicillatus,N,M,A,15,ST,75,NA,NA,NA,NA
1991-03-15,1991,3,15,Chaetodipus,penicillatus,N,M,A,15,NA,79,NA,NA,NA,NA
1991-03-15,1991,3,15,Chaetodipus,penicillatus,N,M,A,16,NA,88,NA,NA,NA,NA
1991-03-15,1991,3,15,Chaetodipus,penicillatus,N,M,A,15,ST,102,NA,NA,NA,NA
1991-03-15,1991,3,15,Chaetodipus,penicillatus,N,M,A,17,NA,123,NA,NA,NA,NA
1991-03-15,1991,3,15,Chaetodipus,penicillatus,N,M,A,13.5,ST,127,NA,NA,NA,NA
1991-03-15,1991,3,15,Chaetodipus,penicillatus,N,F,A,21,NA,145,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,F,A,42,NA,20,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,M,A,40,NA,21,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,F,A,36,NA,27,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,M,SA,34,NA,35,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,M,A,42,ST,42,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,F,A,36,NA,43,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,F,A,36.5,NA,44,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,M,A,44,ST,54,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,M,A,43,NA,71,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,M,A,45,NA,95,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,M,A,46,ST,98,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,M,A,43,ST,99,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,F,A,35,NA,101,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,M,A,38,ST,106,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,F,A,40,NA,118,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,F,J,22,NA,138,NA,NA,NA,NA
1991-03-15,1991,3,15,Dipodomys,merriami,N,M,A,40.5,ST,142,NA,NA,NA,NA
1991-03-15,1991,3,15,Neotoma,albigula,N,M,SA,102,NA,107,NA,NA,NA,NA
1991-03-15,1991,3,15,Peromyscus,eremicus,N,M,J,9.5,NA,11,NA,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,baileyi,N,M,A,NA,ST,58,"Weather cold, rainy; ice on plants.",NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,N,M,A,NA,ST,9,NA,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,N,F,A,NA,NA,19,NA,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,N,M,A,NA,ST,22,NA,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,N,M,A,NA,ST,29,NA,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,N,F,A,NA,NA,41,NA,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,N,M,A,NA,NA,70,NA,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,N,M,A,NA,NA,93,NA,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,N,M,A,NA,NA,103,NA,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,N,M,A,NA,ST,106,NA,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,N,M,A,NA,ST,107,Ticks at base of tail.,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,N,M,A,NA,ST,124,NA,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,Y,NA,A,NA,NA,2,"Pesola scale broken, weights not recorded.",NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,Y,NA,A,NA,NA,44,NA,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,Y,NA,A,NA,NA,56,NA,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,Y,NA,A,NA,NA,63,NA,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,Y,NA,A,NA,NA,79,NA,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,Y,NA,A,NA,NA,87,NA,NA,NA,NA
1991-03-16,1991,3,16,Chaetodipus,penicillatus,Y,NA,A,NA,NA,123,NA,NA,NA,NA
1991-03-16,1991,3,16,Dipodomys,merriami,N,M,A,NA,ST,18,NA,NA,NA,NA
