year,species,abundance,trap_nights,abund_per_trapnight
1989,arenicola,45,1305,0.034482758620689655
1989,boylii,1,1305,7.662835249042146e-4
1989,eremicus,6,1305,0.004597701149425287
1989,leucopus,1,1305,7.662835249042146e-4
1989,maniculatus,1,1305,7.662835249042146e-4
1989,megalotis,17,1305,0.013026819923371647
1989,merriami,254,1305,0.19463601532567049
1989,ordii,73,1305,0.055938697318007664
1989,spectabilis,56,1305,0.04291187739463601
1990,arenicola,16,1305,0.012260536398467433
1990,eremicus,2,1305,0.0015325670498084292
1990,merriami,128,1305,0.09808429118773947
1990,ordii,56,1305,0.04291187739463601
1990,spectabilis,35,1305,0.02681992337164751
1991,arenicola,15,1305,0.011494252873563218
1991,eremicus,3,1305,0.0022988505747126436
1991,flavus,46,1305,0.03524904214559387
1991,leucodon,70,1305,0.05363984674329502
1991,leucogaster,40,1305,0.03065134099616858
1991,leucopus,100,1305,0.07662835249042145
1991,maniculatus,4,1305,0.0030651340996168583
1991,megalotis,8,1305,0.006130268199233717
1991,merriami,462,1305,0.35402298850574715
1991,micropus,4,1305,0.0030651340996168583
1991,ordii,186,1305,0.1425287356321839
1991,spectabilis,63,1305,0.04827586206896552
1992,arenicola,86,1305,0.06590038314176246
1992,boylii,4,1305,0.0030651340996168583
1992,eremicus,24,1305,0.01839080459770115
1992,flavus,71,1305,0.05440613026819923
1992,hispidus,1,1305,7.662835249042146e-4
1992,leucodon,193,1305,0.1478927203065134
1992,leucogaster,33,1305,0.02528735632183908
1992,leucopus,72,1305,0.05517241379310345
1992,maniculatus,3,1305,0.0022988505747126436
1992,megalotis,25,1305,0.019157088122605363
1992,merriami,576,1305,0.4413793103448276
1992,micropus,7,1305,0.0053639846743295016
1992,ordii,130,1305,0.09961685823754789
1992,spectabilis,78,1305,0.059770114942528735
1993,arenicola,94,1305,0.07203065134099616
1993,boylii,64,1305,0.04904214559386973
1993,eremicus,13,1305,0.00996168582375479
1993,flavus,46,1305,0.03524904214559387
1993,hispidus,7,1305,0.0053639846743295016
1993,leucodon,281,1305,0.2153256704980843
1993,leucogaster,62,1305,0.0475095785440613
1993,leucopus,175,1305,0.13409961685823754
1993,maniculatus,1,1305,7.662835249042146e-4
1993,megalotis,58,1305,0.044444444444444446
1993,merriami,495,1305,0.3793103448275862
1993,micropus,14,1305,0.010727969348659003
1993,ordii,274,1305,0.2099616858237548
1993,spectabilis,101,1305,0.07739463601532567
1994,arenicola,28,1305,0.021455938697318006
1994,boylii,15,1305,0.011494252873563218
1994,eremicus,2,1305,0.0015325670498084292
1994,flavus,56,1305,0.04291187739463601
1994,hispidus,1,1305,7.662835249042146e-4
1994,leucodon,153,1305,0.11724137931034483
1994,leucogaster,27,1305,0.020689655172413793
1994,leucopus,31,1305,0.02375478927203065
1994,maniculatus,2,1305,0.0015325670498084292
1994,megalotis,1,1305,7.662835249042146e-4
1994,merriami,425,1305,0.32567049808429116
1994,micropus,14,1305,0.010727969348659003
1994,ordii,266,1305,0.20383141762452106
1994,spectabilis,79,1305,0.06053639846743295
1995,arenicola,46,1305,0.03524904214559387
1995,boylii,8,1305,0.006130268199233717
1995,eremicus,24,1305,0.01839080459770115
1995,flavus,89,1305,0.0681992337164751
1995,leucodon,159,1305,0.12183908045977011
1995,leucogaster,64,1305,0.04904214559386973
1995,leucopus,34,1305,0.026053639846743294
1995,megalotis,39,1305,0.029885057471264367
1995,merriami,619,1305,0.47432950191570883
1995,micropus,4,1305,0.0030651340996168583
1995,ordii,276,1305,0.21149425287356322
1995,spectabilis,133,1305,0.10191570881226053
1996,arenicola,11,1305,0.00842911877394636
1996,boylii,14,1305,0.010727969348659003
1996,flavus,74,1305,0.056704980842911874
1996,leucodon,42,1305,0.03218390804597701
1996,leucogaster,16,1305,0.012260536398467433
1996,leucopus,7,1305,0.0053639846743295016
1996,megalotis,2,1305,0.0015325670498084292
1996,merriami,202,1305,0.15478927203065135
1996,micropus,7,1305,0.0053639846743295016
1996,ordii,43,1305,0.03295019157088123
1996,spectabilis,47,1305,0.03601532567049808
1997,arenicola,66,1305,0.05057471264367816
1997,boylii,4,1305,0.0030651340996168583
1997,eremicus,26,1305,0.01992337164750958
1997,flavus,161,1305,0.12337164750957855
1997,hispidus,1,1305,7.662835249042146e-4
1997,leucodon,158,1305,0.1210727969348659
1997,leucogaster,40,1305,0.03065134099616858
1997,leucopus,39,1305,0.029885057471264367
1997,megalotis,17,1305,0.013026819923371647
1997,merriami,685,1305,0.524904214559387
1997,micropus,5,1305,0.0038314176245210726
1997,ordii,275,1305,0.210727969348659
1997,spectabilis,79,1305,0.06053639846743295
1998,arenicola,47,1305,0.03601532567049808
1998,boylii,169,1305,0.12950191570881225
1998,eremicus,23,1305,0.017624521072796936
1998,flavus,40,1305,0.03065134099616858
1998,hispidus,2,1305,0.0015325670498084292
1998,leucodon,272,1305,0.20842911877394635
1998,leucogaster,50,1305,0.038314176245210725
1998,leucopus,122,1305,0.09348659003831418
1998,maniculatus,2,1305,0.0015325670498084292
1998,megalotis,15,1305,0.011494252873563218
1998,merriami,542,1305,0.4153256704980843
1998,micropus,4,1305,0.0030651340996168583
1998,ordii,243,1305,0.18620689655172415
1998,spectabilis,76,1305,0.05823754789272031
1999,arenicola,22,1305,0.01685823754789272
1999,boylii,38,1305,0.029118773946360154
1999,eremicus,2,1305,0.0015325670498084292
1999,flavus,1,1305,7.662835249042146e-4
