year,night,web,recap,species,mass_g
1989,1,1,n,PGFV,7
1989,1,1,n,DIOR,55
1989,1,1,n,DIOR,45
1989,1,1,n,PGFV,8
1989,1,1,n,DIOR,45.5
1989,1,1,n,PGFV,6.5
1989,1,1,n,REMO,7
1989,1,1,n,DIOR,43.5
1989,1,1,n,PGFV,7.5
1989,1,1,n,PGFV,8.5
1989,1,2,n,DISP,98
1989,1,2,n,PGFV,6.5
1989,1,2,n,DIOR,46
1989,1,2,n,PGFV,5
1989,1,2,n,PGFV,7
1989,1,2,n,PGFV,5
1989,1,2,n,REME,9
1989,1,2,n,DIOR,50
1989,1,2,n,REME,10
1989,1,2,n,PGFV,6
1989,1,2,n,PGFV,7.5
1989,1,2,n,ONAR,22
1989,1,3,n,PGFV,8
1989,1,3,n,PGFV,7.5
1989,1,3,n,PGFV,5
1989,1,3,n,DISP,102
1989,1,3,n,DIOR,44.5
1989,1,3,n,DIOR,36
1989,1,3,n,PGFV,8
1989,1,3,n,DIOR,27
1989,1,3,n,DIOR,45
1989,1,3,n,DIOR,42
1989,1,3,n,PGFV,7
1989,1,3,n,DIOR,36
1989,1,3,n,DIOR,24
1989,1,3,n,DIOR,22
1989,1,3,n,DIOR,47.5
1989,1,3,n,DIOR,51.5
1989,1,3,n,PGFV,6.5
1989,1,3,n,DIOR,40
1989,1,3,n,PGFV,7.5
1989,1,3,n,DIOR,27
1989,1,4,n,PGFV,7.5
1989,1,4,n,PGFV,6
1989,1,4,n,ONAR,26.5
1989,1,4,n,PGFV,5
1989,1,4,n,REMO,8
1989,1,4,n,DIOR,47
1989,1,4,n,DIOR,45.5
1989,1,5,n,REME,10.5
1989,1,5,n,PGFV,6
1989,1,5,n,REMO,8
1989,1,5,n,PGFV,7
1989,1,5,n,DIOR,50
1989,1,5,n,DIOR,52
1989,1,5,n,PGFV,6
1989,2,1,n,PGFV,6.5
1989,2,1,n,DISP,95
1989,2,1,n,PGFV,7
1989,2,1,n,PGFV,9
1989,2,1,n,PGFV,7
1989,2,1,n,ONAR,22
1989,2,1,n,DISP,46
1989,2,2,n,PGFV,7
1989,2,2,n,DIOR,40
1989,2,2,n,DIOR,55
1989,2,2,n,DIOR,46
1989,2,2,n,PGFV,8
1989,2,2,n,DIOR,49
1989,2,2,n,DIOR,34
1989,2,3,n,PGFV,8
1989,2,3,n,PGFV,8
1989,2,3,n,DISP,120
1989,2,3,n,DIOR,47
1989,2,3,n,DIOR,44
1989,2,3,n,PGFV,8.5
1989,2,3,n,PGFV,8
1989,2,3,n,PGFV,7
1989,2,3,n,DIOR,43.5
1989,2,3,n,DIOR,51
1989,2,3,n,ONAR,21
1989,2,3,n,PGFV,6.5
1989,2,3,n,REME,7
1989,2,3,n,DIOR,41.5
1989,2,3,n,PGFV,6
1989,2,3,n,DIOR,46
1989,2,3,n,PGFV,8
1989,2,3,n,DIOR,52
1989,2,4,n,PGFV,5
1989,2,5,n,PGFV,8
1989,2,5,n,DIOR,47
1989,2,5,n,REME,10
1989,2,5,n,PGFV,8
1989,2,5,n,PGFV,8
1989,2,5,n,PGFV,7
1989,2,5,n,DIOR,49
1989,2,5,n,PGFV,7
1989,2,5,n,DISP,82
1989,2,5,n,DIME,20
1989,2,5,n,DIME,20
1989,3,1,n,PGFV,7.5
1989,3,1,n,DIOR,45.5
1989,3,1,n,PGFV,6.5
1989,3,1,n,PGFV,9
1989,3,1,n,PGFV,8.5
1989,3,1,n,PGFV,7.5
1989,3,1,n,REME,9
1989,3,2,n,DIOR,48
1989,3,2,n,PGFV,5
