year,biomass_g
1989,17.118914067855087
1990,9.751701546525041
1991,39.04292891060345
1992,56.7088370331672
1993,75.63391229989817
1994,51.29648460290974
1995,64.36191679803392
1996,19.33733906718259
1997,61.75622241569841
1998,70.82119142105476
1999,23.512514300933898
2000,20.25313469907002
2001,9.178692017570755
2002,10.451315074688203
2003,20.004513350010846
2004,13.571701029685046
2005,23.669709715642867
2006,20.685563749052342
2007,38.474306347575336
2008,15.795037608733374
2009,16.556214603111112
2010,4.075966675868765
2011,5.053051150023294
2012,5.590231818337303
2013,3.5201848961062416
2014,14.674333576150639
2015,10.082252520819464
2016,6.435711092149443
2017,10.552011206291743
2018,16.786194994749444
2019,13.639589458150562
2020,11.466334000515904
2021,8.68509708647466
2022,12.522309337035054
2023,16.010675158686773
