year,season,date,habitat,night,web,trap,recap,spp,sex,age,weight,repro,recond,incomplete,marked,dead,closed,newborn
1995,F,1995-10-24,JC,1,1,24,N,DIME,NA,NA,0,NA,NA,Y,U,NA,NA,NA
1995,F,1995-10-24,JC,1,1,48,N,DIME,F,A,40,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,1,58,N,DIME,F,A,41,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,1,72,N,DIME,F,A,37,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,1,88,N,PELE,F,A,22,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,1,107,N,DIME,F,A,41,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,1,132,N,DIME,M,A,35,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,1,133,N,DIME,M,A,44,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,1,138,N,REME,M,A,12,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,1,139,N,DIME,F,A,38,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,1,143,N,DIME,M,A,37,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,4,N,NEAL,F,A,160,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,6,N,NEAL,F,A,178,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,12,N,ONAR,M,A,18,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,21,N,DIME,M,A,40,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,36,N,DIME,M,A,37,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,42,N,DIME,F,A,46,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,48,N,DIME,F,A,38,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,58,N,DIME,F,A,42,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,59,N,DIME,F,A,40,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,60,N,NEAL,NA,J,110,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,72,N,DIME,M,A,43,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,74,N,DIME,F,A,38,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,79,N,PELE,F,A,24,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,82,N,DIME,M,A,43,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,83,N,DIME,M,A,42,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,100,N,DIME,F,A,38,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,132,N,DIME,M,A,43,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,133,N,ONAR,F,A,0,N,NA,Y,M,NA,NA,NA
1995,F,1995-10-24,JC,1,2,137,N,DIME,F,A,39,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,2,144,N,DIME,M,A,46,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,3,10,N,NEAL,F,A,205,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,3,20,N,DIME,M,A,41,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,3,23,N,DIME,F,A,39,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,3,34,N,DIME,M,A,45,Y,S,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,3,36,N,DIME,M,A,42,Y,PS,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,3,45,N,DIME,M,A,46,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,3,47,N,DIME,F,A,47,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,3,52,N,ONAR,M,A,18,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,3,59,N,DIME,M,A,37,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,3,70,N,DIME,NA,NA,0,NA,NA,Y,U,NA,NA,NA
1995,F,1995-10-24,JC,1,3,80,N,DIME,M,A,39,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,3,82,N,DIME,M,A,36,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-24,JC,1,3,84,N,DIME,M,A,36,N,NA,NA,NA,NA,NA,NA
