ID,RodentSurveyID,RodentSpeciesID,IDNum,SexID,AgeID,YearIDNumAssigned,ReproductiveStatusID,Weight,Recapture,Capture1,Capture2,Capture3,Capture4,Notes,CreatedDate
144775,22,112,NA,NA,NA,NA,NA,NA,1,,D3,,,,2015-04-03
144776,22,119,NA,NA,NA,NA,NA,NA,1,,D2,,,,2015-04-03
144777,22,115,NA,1,1,NA,NA,30.6,0,,D1,,,,2015-04-03
144778,22,115,NA,2,1,NA,NA,32.2,0,,E1,,,,2015-04-03
144779,22,115,NA,1,1,NA,NA,40,0,,E2,,,,2015-04-03
144780,22,112,NA,2,1,NA,NA,14.2,0,,E4,,,,2015-04-03
144781,22,112,NA,NA,NA,NA,NA,NA,1,,E6,,,,2015-04-03
144782,22,115,NA,1,1,NA,NA,43.8,0,,E7,,,,2015-04-03
144783,22,115,NA,1,1,NA,NA,45.5,0,,F7,,,,2015-04-03
144784,22,115,NA,2,1,NA,NA,41.8,0,,F6,,,,2015-04-03
144785,22,119,NA,1,1,NA,NA,11,0,,F4,,,,2015-04-03
144786,22,112,NA,NA,NA,NA,NA,NA,1,,F3,,,,2015-04-03
144787,22,119,NA,1,2,NA,NA,5.5,0,,F2,,,,2015-04-03
144788,22,119,NA,NA,NA,NA,NA,NA,1,,F1,,,,2015-04-03
144789,22,115,NA,NA,NA,NA,NA,NA,1,,G1,,,,2015-04-03
144790,22,115,NA,1,1,NA,NA,37.2,0,,G2,,,,2015-04-03
144791,22,112,NA,NA,NA,NA,NA,NA,1,,G3,,,,2015-04-03
144792,22,119,NA,1,1,NA,NA,9.5,0,,G4,,,,2015-04-03
144793,22,115,NA,NA,NA,NA,NA,NA,1,,G5,,,,2015-04-03
144794,22,112,NA,NA,NA,NA,NA,NA,1,,G6,,,,2015-04-03
144795,22,115,NA,2,1,NA,NA,39,0,,G7,,,,2015-04-03
144796,17,112,NA,1,1,NA,NA,23.2,0,A3,,,,,2015-04-03
144797,17,117,NA,1,1,NA,NA,134,0,A4,,,,,2015-04-03
144798,17,112,NA,2,1,NA,NA,27.4,0,A5,,,,,2015-04-03
144799,17,120,NA,1,1,NA,NA,11,0,B7,,,,,2015-04-03
144800,17,117,NA,2,1,NA,NA,116.2,0,B5,,,,,2015-04-03
144801,17,112,NA,1,3,NA,NA,9.4,0,B4,,,,,2015-04-03
144802,17,117,NA,2,1,NA,NA,64,0,B3,,,,,2015-04-03
144803,17,111,NA,1,1,NA,NA,22.1,0,B2,,,,,2015-04-03
144804,17,112,NA,1,1,NA,NA,21.6,0,B1,,,,,2015-04-03
144805,17,117,NA,1,1,NA,NA,117.6,0,C1,,,,,2015-04-03
144806,17,117,NA,1,2,NA,NA,65,0,C2,,,,,2015-04-03
144807,17,117,NA,1,1,NA,NA,125.8,0,C3,,,,,2015-04-03
144808,17,117,NA,1,1,NA,NA,111,0,C4,,,,,2015-04-03
144809,17,117,NA,2,1,NA,NA,114.6,0,C7,,,,,2015-04-03
144810,17,112,NA,2,1,NA,NA,33.5,0,D4,,,,,2015-04-03
144811,17,117,NA,1,1,NA,NA,94.5,0,D3,,,,,2015-04-03
144812,17,111,NA,1,1,NA,NA,10.6,0,D2,,,,,2015-04-03
144813,17,117,NA,1,1,NA,NA,117,0,D1,,,,,2015-04-03
144814,17,117,NA,1,1,NA,NA,141.8,0,E1,,,,,2015-04-03
144815,17,117,NA,1,1,NA,NA,151.2,0,E2,,,,,2015-04-03
144816,17,117,NA,1,1,NA,NA,119.8,0,E3,,,,,2015-04-03
144817,17,117,NA,2,1,NA,NA,85,0,E5,,,,,2015-04-03
144818,17,117,NA,2,1,NA,NA,167.5,0,E7,,,,,2015-04-03
144819,17,112,NA,2,1,NA,NA,10.6,0,F7,,,,,2015-04-03
144820,17,117,NA,1,1,NA,NA,86.2,0,F5,,,,,2015-04-03
144821,17,112,NA,1,3,NA,NA,8.4,0,F4,,,,,2015-04-03
144822,17,112,NA,2,1,NA,NA,22.6,0,F3,,,,,2015-04-03
144823,17,111,NA,1,1,NA,NA,10.9,0,F2,,,,,2015-04-03
144824,17,117,NA,1,1,NA,NA,111,0,G2,,,,,2015-04-03
144825,17,111,NA,1,1,NA,NA,12.2,0,G3,,,,,2015-04-03
144826,17,117,NA,1,1,NA,NA,144.2,0,G4,,,,,2015-04-03
144827,17,120,NA,2,1,NA,NA,14.5,0,G5,,,,,2015-04-03
144828,17,112,NA,2,1,NA,NA,19.4,0,G6,,,,,2015-04-03
144829,18,111,NA,1,1,NA,NA,27.4,0,B1,,,,,2015-04-03
144830,18,117,NA,1,1,NA,NA,205,0,B3,,,,,2015-04-03
144831,18,112,NA,1,1,NA,NA,21.6,0,A3,,,,,2015-04-03
144832,18,112,NA,2,1,NA,NA,27.4,0,B4,,,,,2015-04-03
144833,18,117,NA,1,3,NA,NA,107,0,B6,,,,,2015-04-03
144834,18,112,NA,1,1,NA,NA,26.4,0,B7,,,,,2015-04-03
144835,18,112,NA,1,1,NA,NA,18.6,0,C7,,,,,2015-04-03
144836,18,112,NA,1,1,NA,NA,23,0,A7,,,,,2015-04-03
144837,18,112,NA,1,1,NA,NA,26.2,0,C3,,,,,2015-04-03
144838,18,120,NA,1,1,NA,NA,25.2,0,D1,,,,,2015-04-03
144839,18,112,NA,2,1,NA,NA,27.2,0,D2,,,,,2015-04-03
144840,18,112,NA,2,1,NA,NA,22.2,0,D6,,,,,2015-04-03
144841,18,117,NA,1,1,NA,NA,116,0,D7,,,,,2015-04-03
144842,18,112,NA,2,1,NA,NA,28.5,0,E7,,,,,2015-04-03
144843,18,112,NA,2,1,NA,NA,21.5,0,E4,,,,,2015-04-03
144844,18,111,NA,2,1,NA,NA,22.4,0,E3,,,,unmarked,2015-04-03
144845,18,117,NA,NA,1,NA,NA,126.2,0,E2,,,,escaped,2015-04-03
144846,18,112,NA,1,1,NA,NA,23.6,0,E1,,,,,2015-04-03
144847,18,112,NA,1,1,NA,NA,20.8,0,E1,,,,,2015-04-03
144848,18,112,NA,1,1,NA,NA,28.3,0,F3,,,,,2015-04-03
144849,18,117,NA,NA,1,NA,NA,117,0,F2,,,,escaped,2015-04-03
144850,18,112,NA,2,1,NA,NA,19.4,0,F4,,,,,2015-04-03
144851,18,111,NA,2,1,NA,NA,24.4,0,E6,,,,,2015-04-03
144852,18,110,NA,2,1,NA,NA,31.8,0,F6,,,,,2015-04-03
144853,18,117,NA,2,1,NA,NA,163,0,F7,,,,,2015-04-03
144854,18,117,NA,1,3,NA,NA,73.8,0,G1,,,,,2015-04-03
144855,18,112,NA,2,1,NA,NA,21.6,0,G3,,,,,2015-04-03
144856,18,112,NA,1,1,NA,NA,18.8,0,G4,,,,,2015-04-03
144857,18,112,NA,2,1,NA,NA,22.2,0,G5,,,,,2015-04-03
144858,18,110,NA,2,1,NA,NA,30.6,0,G6,,,,,2015-04-03
144859,17,111,NA,1,1,NA,NA,10.2,0,,A1,,,,2015-04-03
144860,17,112,NA,1,1,NA,NA,22.5,0,,A2,,,,2015-04-03
144861,17,112,NA,2,1,NA,NA,11.6,0,,A3,,,,2015-04-03
144862,17,111,NA,1,1,NA,NA,11.3,0,,A4,,,,2015-04-03
144863,17,112,NA,2,1,NA,NA,11.2,0,,A5,,,,2015-04-03
144864,17,117,NA,2,1,NA,NA,175.5,0,,B7,,,,2015-04-03
144865,17,112,NA,2,1,NA,NA,11,0,,B6,,,,2015-04-03
144866,17,117,NA,2,1,NA,NA,74.4,0,,B3,,,,2015-04-03
144867,17,117,NA,NA,NA,NA,NA,NA,1,,B2,,,,2015-04-03
144868,17,117,NA,NA,NA,NA,NA,NA,1,,C1,,,,2015-04-03
144869,17,117,NA,NA,NA,NA,NA,NA,1,,C2,,,,2015-04-03
144870,17,117,NA,NA,NA,NA,NA,NA,1,,C3,,,,2015-04-03
