year,location,season,night,web,trap,recap,species,sex,age,reprod,mass,l_tag,r_tag,field_comments,qaqc_comments,site
1989,5pgrass,1,1,1,1,n,PGFV,m,a,NA,7,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,1,114,n,DIOR,m,a,NA,55,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,1,18,n,DIOR,m,a,NA,45,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,1,38,n,PGFV,m,a,NA,8,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,1,60,n,DIOR,f,a,NA,45.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,1,74,n,PGFV,f,a,NA,6.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,1,80,n,REMO,m,j,NA,7,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,1,83,n,DIOR,m,a,NA,43.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,1,89,n,PGFV,m,a,NA,7.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,1,94,n,PGFV,m,a,NA,8.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,2,102,NA,XESP,f,a,l,109,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,2,105,n,DISP,f,j,NA,98,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,2,106,n,PGFV,f,a,NA,6.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,2,107,n,DIOR,m,a,NA,46,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,2,138,n,PGFV,m,j,NA,5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,2,140,n,PGFV,m,a,st,7,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,2,21,n,PGFV,m,j,NA,5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,2,42,n,REME,m,a,st,9,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,2,60,n,DIOR,m,a,st,50,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,2,68,n,REME,f,a,NA,10,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,2,75,n,PGFV,f,a,NA,6,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,2,83,n,PGFV,m,a,st,7.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,2,93,n,ONAR,m,a,NA,22,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,10,n,PGFV,f,a,NA,8,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,10,n,PGFV,m,a,NA,7.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,108,n,PGFV,f,j,NA,5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,120,n,DISP,m,j,NA,102,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,122,n,DIOR,f,a,NA,44.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,143,n,DIOR,f,j,NA,36,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,144,n,PGFV,m,a,st,8,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,28,n,DIOR,m,j,NA,27,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,30,n,DIOR,m,a,st,45,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,33,n,DIOR,f,a,NA,42,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,47,n,PGFV,f,a,NA,7,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,5,n,DIOR,f,j,NA,36,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,54,n,DIOR,m,j,NA,24,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,6,NA,NEAL,m,j,NA,7.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,64,n,DIOR,m,j,NA,22,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,66,n,DIOR,m,a,NA,47.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,7,n,DIOR,f,a,NA,51.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,71,n,PGFV,f,a,NA,6.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,75,n,DIOR,f,a,l,40,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,78,n,PGFV,f,a,NA,7.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,3,82,n,DIOR,m,j,NA,27,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,4,108,n,PGFV,m,a,NA,7.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,4,110,n,PGFV,f,a,NA,6,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,4,24,n,ONAR,m,a,NA,26.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,4,28,n,PGFV,m,j,NA,5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,4,53,n,REMO,m,j,NA,8,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,4,59,n,DIOR,m,a,NA,47,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,4,72,n,DIOR,m,a,NA,45.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,4,8,NA,XESP,m,a,NA,110,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,5,121,n,REME,m,a,st,10.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,5,2,n,PGFV,m,a,NA,6,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,5,38,n,REMO,m,a,st,8,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,5,48,NA,XESP,m,a,st,103,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,5,54,n,PGFV,m,a,NA,7,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,5,68,n,DIOR,f,a,l,50,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,5,77,n,DIOR,m,a,st,52,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,5,79,n,PGFV,m,a,NA,6,NA,NA,NA,NA,core_black
1989,5pgrass,1,1,5,90,NA,XESP,m,a,NA,112,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,1,102,n,PGFV,f,a,NA,6.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,1,113,n,DISP,f,j,NA,95,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,1,129,n,PGFV,m,a,NA,7,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,1,32,n,PGFV,f,a,NA,9,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,1,55,n,PGFV,f,a,NA,7,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,1,63,n,ONAR,m,a,NA,22,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,1,71,n,DISP,f,a,NA,46,NA,NA,NA,mass should not be under 60 grams; likely recorded wrong or identified incorrectly; JCJ.,core_black
1989,5pgrass,1,2,2,105,y,DIOR,m,a,NA,35,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,2,12,n,PGFV,f,a,NA,7,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,2,129,n,DIOR,m,a,NA,40,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,2,132,n,DIOR,m,a,NA,55,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,2,19,n,DIOR,f,a,NA,46,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,2,25,y,REME,m,a,st,7,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,2,55,n,PGFV,m,a,NA,8,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,2,58,n,DIOR,f,a,NA,49,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,2,60,y,DIOR,m,a,st,49,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,2,84,n,DIOR,f,j,NA,34,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,2,9,y,PGFV,m,a,st,7,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,2,96,y,PGFV,f,a,NA,6,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,108,n,PGFV,m,a,st,8,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,114,n,PGFV,m,a,NA,8,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,119,n,DISP,f,a,NA,120,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,12,n,DIOR,m,a,NA,47,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,120,n,DIOR,m,a,NA,44,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,136,y,DIOR,f,j,NA,35,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,142,n,PGFV,m,a,NA,8.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,18,n,PGFV,m,a,NA,8,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,24,NA,XESP,f,a,l,100,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,30,n,PGFV,m,a,st,7,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,32,y,DIOR,m,a,st,43,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,34,n,DIOR,m,a,NA,43.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,40,y,DIOR,m,j,NA,21,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,5,y,DIOR,f,a,NA,50,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,54,y,DIOR,m,j,NA,25,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,58,n,DIOR,f,a,l,51,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,59,n,ONAR,m,a,NA,21,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,65,n,PGFV,f,a,NA,6.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,67,n,REME,m,a,st,7,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,72,n,DIOR,m,a,NA,41.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,76,n,PGFV,f,a,NA,6,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,82,y,DIOR,m,j,NA,27,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,83,n,DIOR,m,a,NA,46,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,91,n,PGFV,m,a,NA,8,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,3,93,n,DIOR,m,a,NA,52,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,4,92,n,PGFV,m,j,NA,5,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,10,n,PGFV,m,a,NA,8,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,104,n,DIOR,f,a,NA,47,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,117,n,REME,m,a,NA,10,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,140,n,PGFV,m,a,NA,8,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,141,n,PGFV,m,a,NA,8,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,15,n,PGFV,m,a,NA,7,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,17,y,REMO,m,a,st,8,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,2,y,PGFV,m,a,NA,6.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,23,n,DIOR,m,a,st,49,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,32,n,PGFV,f,a,NA,7,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,35,n,DISP,m,j,NA,82,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,63,y,REME,m,a,st,9,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,71,y,DIOR,f,a,l,49,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,77,y,DIOR,m,a,st,52,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,80,y,ONAR,f,a,NA,20,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,90,n,DIME,f,j,NA,20,NA,NA,NA,NA,core_black
1989,5pgrass,1,2,5,93,n,DIME,f,j,NA,20,NA,NA,NA,NA,core_black
1989,5pgrass,1,3,1,101,n,PGFV,m,a,NA,7.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,3,1,125,n,DIOR,f,a,NA,45.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,3,1,126,n,PGFV,f,a,NA,6.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,3,1,23,n,PGFV,f,a,NA,9,NA,NA,NA,NA,core_black
1989,5pgrass,1,3,1,24,n,PGFV,m,a,NA,8.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,3,1,43,n,PGFV,m,a,NA,7.5,NA,NA,NA,NA,core_black
1989,5pgrass,1,3,1,56,n,REME,m,a,NA,9,NA,NA,NA,NA,core_black
