Code,Genus,Species,blugrama,5pgrass,5plarrea,rsgrass,rslarrea,savanna,two22,core_PJ
AMIN,Ammospermophilus,interpres,,,,,,X,,X
AMLE,Ammospermophilus,leucurus,,,,X,X,,X,X
CHIN,Chaetodipus,intermedius,,X,X,X,X,X,X,X
DIME,Dipodomys,merriami,,X,X,X,X,X,X,X
DIOR,Dipodomys,ordii,X,X,X,X,X,X,X,X
DISP,Dipodomys,spectabilis,X,X,X,X,X,,X,X
DIXX,Dipodomys,spp.,,,X,,,,,
MIME,Microtus,mexicanus,,,,,,,,
MUMU,Mus,musculus,,X,,,,,,
NEAL,Neotoma,albigula,X,X,X,X,X,X,X,X
NEDO,Neotamia,dorsalis,,,,,,,X,
NEMI,Neotoma,micropus,,X,X,X,X,X,X,
NEQU,Neotamia,cinereicollis,,,,,,,,X
NEXX,Neotoma,spp.,,X,,,,,,
ONAR,Onychomys,arenicola,X,X,X,X,X,X,X,X
ONLE,Onychomys,leucogaster,,X,X,X,X,,X,
ONXX,Onychomys,spp.,,X,X,X,X,,,
OTVA,Otospermophilus,variegatus,,,,,,X,X,X
PEBO,Peromyscus,boylii,,X,X,X,X,X,X,X
PEDI,Peromyscus,difficilis,,X,X,X,X,X,X,
PEER,Peromyscus,eremicus,,,X,X,X,,,
PELE,Peromyscus,leucopus,,X,X,X,X,X,X,X
PEMA,Peromyscus,maniculatus,,X,X,X,X,,X,X
PENA,Peromyscus,nasutus,,X,X,X,X,X,X,X
PETR,Peromyscus,truei,X,X,X,X,X,X,X,X
PEXX,Peromyscus,spp.,,,X,X,X,,,X
PGFV,Perognathus,flavus,X,X,X,X,X,X,X,X
PGFL,Perognathus,flavescens,,X,,X,X,,X,
REME,Reithrodontomys,megalotis,,X,X,X,X,,X,X
REMO,Reithrodontomys,montanus,,X,X,,X,,,
REXX,Reithrodontomys,spp.,,X,,,,,,X
SIHI,Sigmodon,hispidus,,X,X,,X,,X,X
SPSP,Spermophilus,spilosoma,X,X,X,X,X,,,
SYAU,Sylvilagus,audubonii,,X,X,X,X,,,X
XESP,Xerospermophilus,spilosoma,X,X,X,X,X,,,
