ID,Site,Name,SiteCode,CoreStatus,NearestWeatherStation,HistoricStudies,PastAcronyms,Easting,Northing,CreatedDate
1,AGUA,Aguajita Wash,1,Core 1,AGUA,,,309977,3535952,2015-04-03
2,VULT,Vulture Site,2,Non-Core 1,SENI,,,324077,3530095,2015-04-03
3,LOST,Lost Cabin,3,Non-Core 1,SENI,,,323660,3533387,2015-04-03
4,SENI,Senita Basin,4,Core 1,SENI,,,323640,3536259,2015-04-03
5,BURN,Burn Site,5,Non-Core 1,SENI,,,330627,3527627,2015-04-03
6,DOLO,Dos Lomitas,6,Core 1,SALS,,,333582,3526430,2015-04-03
7,SALS,Salsola,7,Non-Core 1,SALS,,,337259,3525105,2015-04-03
8,BULL,Bull Pasture,8,Non-Core 1,BULL,,,340044,3542816,2015-04-03
9,ARCH,Arch Canyon,9,Non-Core 1,ALAM,RODENTS,,338992,3546011,2015-04-03
10,ALAM,Alamo Canyon,10,Core 1,ALAM,,,338482,3548536,2015-04-03
11,DRIP,Dripping Springs,11,Non-Core 1,ACUN,,,321461,3544589,2015-04-03
12,ACUN,Acuna Habitat,12,Non-Core 1,ACUN,VEG,NEOL,319206,3545830,2015-04-03
13,POZO,Pozo Nuevo,13,Core 1,POZO,,,307813,3543528,2015-04-03
14,EARM,East Armenta,14,Core 1,EARM,,ARME,331339,3561835,2015-04-03
15,ARMR,Armenta Ranch,15,Non-Core 1,VALL,,,326785,3563367,2015-04-03
16,GROW,Growler Canyon,16,Core 1,GRVA,,,316420,3560768,2015-04-03
17,LOWE,Lower Colorado Larrea,17,Core 1,GRVA,,"LCLA, LCLS, LCLN, LOCL",303658,3561442,2015-04-03
18,QBQT,Quitobaquito,18,Non-Core 1,AGUA,,,309197,3535778,2015-04-03
19,VALL,Valley Floor,19,Core 1,VALL,,VAFL,325628,3563532,2015-04-03
20,MIDB,Middle Bajada,20,Core 1,MIDB,,MIBA,334804,3551028,2015-04-03
34,CEME,Cement Tank,24,Other,BULL,,,340488,3537961,2015-04-03
35,CREO,Creosotebush,21,Other,EARM,,,328381,3563115,2015-04-03
36,ESTU,Tinaja Estufa,26,Other,GRVA,,,316727,3553556,2015-04-03
37,GORG,Hidden Gorge,26,Other,GRVA,,,316880,3553333,2015-04-03
38,HEAD,Headquarters,NA,Other,,WEATHER,,0,0,2015-04-03
39,GACH,Gachado Well,NA,Other,,WEATHER,,0,0,2015-04-03
40,GRVA,Growler Valley,NA,Other,GRVA,,GROW,309779,3559887,2015-04-03
41,CUER,Cuerda de Lena,NA,Other,VALL,,,0,0,2015-04-03
42,JACK,Jackson's Hole,30,Other,ACUN,,,320820,3547286,2015-04-03
43,LIZG,Lizard Grid,22,Other,,,,331815,3561814,2015-04-03
44,NALA,North Alamo Canyon,25,Other,ALAM,,,338329,3549470,2015-04-03
45,SALA,South Alamo Canyon,NA,Other,ALAM,,,0,0,2015-04-03
46,WILD,Wild Horse Tank,29,Other,BULL,,,336963,3543946,2015-04-03
47,DOWL,Dowling Ranch,27,Other,,,,326181,3529712,2015-04-03
48,TILL,69.4 Mile,28,Other,,,,332313,3545753,2015-04-03
52,KUAK,Kuakatch Wash,NA,Other,MIDB,Cowbird Study Transect,,0,0,2015-04-03
53,DIAB,Diablo Canyon,NA,Other,BULL,,,0,0,2015-04-03
54,CAMP,HQ Campground,0,Other,,,,0,0,2015-04-03
55,GVAL,Growler Valley,0,Other,,,,0,0,2015-04-03
56,ROJO,Cono Rojo (Pinacate),0,Other,,,,0,0,2015-04-03
57,ROSA,Sierra del Rosario,0,Other,,,,0,0,2015-04-03
58,PONU,Rancho Pozo Nuevo,0,Other,,,,0,0,2015-04-03
59,GUAD,Rancho Guadalupe Victoria,0,Other,,,,0,0,2015-04-03
60,PAPA,Papago Tanks,0,Other,,,,0,0,2015-04-03
62,NEOL,Neolloydia site,0,Non-Core 1,,,,0,0,2015-04-03
63,LOCO,Lopez Collada,NA,Other,LOCO,,,0,0,2015-12-23
